cell,rho,alpha_b,tau_LATE_true,role,use_physics,use_iv,use_ipsw,combo,n_valid,reject_rate,reject_SE,tau_mean,tau_std
T2-a,0.5,0.3,-0.063038,POWER,False,False,False,piw,500,0.422,0.022086919205719934,-0.01792945460589322,0.009902677190601835
T2-a,0.5,0.3,-0.063038,POWER,False,False,True,piW,500,0.056,0.010282412168358162,-0.0034684309825737713,0.009696703765900368
T2-a,0.5,0.3,-0.063038,POWER,False,True,False,pIw,500,0.764,0.018989681408596616,-0.08034406468051093,0.031224787448576007
T2-a,0.5,0.3,-0.063038,POWER,False,True,True,pIW,500,0.562,0.02218810492133116,-0.06369600852857164,0.03122191270113598
T2-a,0.5,0.3,-0.063038,POWER,True,False,False,Piw,500,0.422,0.022086919205719934,-0.01792945460589322,0.009902677190601835
T2-a,0.5,0.3,-0.063038,POWER,True,False,True,PiW,500,0.056,0.010282412168358162,-0.0034684309825737713,0.009696703765900368
T2-a,0.5,0.3,-0.063038,POWER,True,True,False,PIw,500,0.764,0.018989681408596616,-0.08034406468051093,0.031224787448576007
T2-a,0.5,0.3,-0.063038,POWER,True,True,True,PIW,500,0.562,0.02218810492133116,-0.06369600852857164,0.03122191270113598
T2-b,1.0,0.3,-0.058665,POWER,False,False,False,piw,500,0.974,0.007116740827092131,0.03743141432748455,0.009011547920902245
T2-b,1.0,0.3,-0.058665,POWER,False,False,True,piW,500,1.0,0.0,0.046753764512103814,0.00871965668741231
T2-b,1.0,0.3,-0.058665,POWER,False,True,False,pIw,500,0.592,0.02197889897151356,-0.07035342977779072,0.0336255849678458
T2-b,1.0,0.3,-0.058665,POWER,False,True,True,pIW,500,0.438,0.02218810492133116,-0.0603173908218355,0.03488215908122237
T2-b,1.0,0.3,-0.058665,POWER,True,False,False,Piw,500,0.974,0.007116740827092131,0.03743141432748455,0.009011547920902245
T2-b,1.0,0.3,-0.058665,POWER,True,False,True,PiW,500,1.0,0.0,0.046753764512103814,0.00871965668741231
T2-b,1.0,0.3,-0.058665,POWER,True,True,False,PIw,500,0.592,0.02197889897151356,-0.07035342977779072,0.0336255849678458
T2-b,1.0,0.3,-0.058665,POWER,True,True,True,PIW,500,0.438,0.02218810492133116,-0.0603173908218355,0.03488215908122237
T2-null,0.5,4.99720863,0.001848,SIZE,False,False,False,piw,500,1.0,0.0,0.06244775822001608,0.009364871454299237
T2-null,0.5,4.99720863,0.001848,SIZE,False,False,True,piW,500,1.0,0.0,0.07048506710083799,0.009055252079098564
T2-null,0.5,4.99720863,0.001848,SIZE,False,True,False,pIw,500,0.078,0.011992997957141491,-0.017733814853017067,0.030515179574770318
T2-null,0.5,4.99720863,0.001848,SIZE,False,True,True,pIW,500,0.054,0.010107818755794942,0.0005915011043875082,0.028946291716081325
T2-null,0.5,4.99720863,0.001848,SIZE,True,False,False,Piw,500,1.0,0.0,0.06244775822001608,0.009364871454299237
T2-null,0.5,4.99720863,0.001848,SIZE,True,False,True,PiW,500,1.0,0.0,0.07048506710083799,0.009055252079098564
T2-null,0.5,4.99720863,0.001848,SIZE,True,True,False,PIw,500,0.078,0.011992997957141491,-0.017733814853017067,0.030515179574770318
T2-null,0.5,4.99720863,0.001848,SIZE,True,True,True,PIW,500,0.054,0.010107818755794942,0.0005915011043875082,0.028946291716081325
