experiment,cell,cell_type,seed,NIE_true,NIE_phys,ci_l,ci_u,ci_covers,NIE_naive,err_phys,err_naive,rel_bias_raw,rel_bias_ipsw,NIE_raw,NIE_ipsw
HC1,G1,G,42,0.00228600,0.00234799,0.00225650,0.00243948,1.00000000,0.06565272,0.00006199,0.06336672,,,,
HC1,G1,G,123,0.00228600,0.00232666,0.00223524,0.00241808,1.00000000,0.06522974,0.00004066,0.06294374,,,,
HC1,G1,G,456,0.00228600,0.00224892,0.00215728,0.00234056,1.00000000,0.06529457,-0.00003708,0.06300857,,,,
HC1,G1,G,789,0.00228600,0.00223080,0.00213933,0.00232227,1.00000000,0.06543745,-0.00005520,0.06315145,,,,
HC1,G1,G,2026,0.00228600,0.00226319,0.00217171,0.00235468,1.00000000,0.06526037,-0.00002281,0.06297437,,,,
HC1,G2,G,42,0.02067000,0.02075610,0.02063924,0.02087296,1.00000000,0.48707734,0.00008610,0.46640734,,,,
HC1,G2,G,123,0.02067000,0.02072539,0.02060858,0.02084220,1.00000000,0.48623546,0.00005539,0.46556546,,,,
HC1,G2,G,456,0.02067000,0.02063323,0.02051631,0.02075014,1.00000000,0.48737557,-0.00003677,0.46670557,,,,
HC1,G2,G,789,0.02067000,0.02058888,0.02047209,0.02070566,1.00000000,0.48717259,-0.00008112,0.46650259,,,,
HC1,G2,G,2026,0.02067000,0.02063050,0.02051362,0.02074738,1.00000000,0.48705699,-0.00003950,0.46638699,,,,
HC1,G3,G,42,0.04847300,0.04859095,0.04843617,0.04874574,1.00000000,0.95634404,0.00011795,0.90787104,,,,
HC1,G3,G,123,0.04847300,0.04854806,0.04839331,0.04870281,1.00000000,0.95517257,0.00007506,0.90669957,,,,
HC1,G3,G,456,0.04847300,0.04843701,0.04828228,0.04859174,1.00000000,0.95724212,-0.00003599,0.90876912,,,,
HC1,G3,G,789,0.04847300,0.04835797,0.04820331,0.04851263,1.00000000,0.95660100,-0.00011503,0.90812800,,,,
HC1,G3,G,2026,0.04847300,0.04841073,0.04825589,0.04856557,1.00000000,0.95683591,-0.00006227,0.90836291,,,,
HC1,G4,G,42,0.06916200,0.06930198,0.06912006,0.06948389,1.00000000,1.24667146,0.00013998,1.17750946,,,,
HC1,G4,G,123,0.06916200,0.06925094,0.06906905,0.06943282,1.00000000,1.24536676,0.00008894,1.17620476,,,,
HC1,G4,G,456,0.06916200,0.06912717,0.06894538,0.06930897,1.00000000,1.24787198,-0.00003483,1.17870998,,,,
HC1,G4,G,789,0.06916200,0.06902462,0.06884287,0.06920637,1.00000000,1.24693216,-0.00013738,1.17777016,,,,
HC1,G4,G,2026,0.06916200,0.06908451,0.06890252,0.06926649,1.00000000,1.24752751,-0.00007749,1.17836551,,,,
HC1,G5,G,42,0.09021500,0.09037586,0.09016731,0.09058441,1.00000000,1.51351885,0.00016086,1.42330385,,,,
HC1,G5,G,123,0.09021500,0.09031707,0.09010856,0.09052558,1.00000000,1.51213542,0.00010207,1.42192042,,,,
HC1,G5,G,456,0.09021500,0.09018116,0.08997279,0.09038952,1.00000000,1.51495437,-0.00003384,1.42473937,,,,
HC1,G5,G,789,0.09021500,0.09005606,0.08984772,0.09026440,1.00000000,1.51372282,-0.00015894,1.42350782,,,,
HC1,G5,G,2026,0.09021500,0.09012255,0.08991393,0.09033117,1.00000000,1.51473731,-0.00009245,1.42452231,,,,
HC2,G1,G,42,0.00228600,,,,,,,,0.49831926,0.03806227,0.00342516,0.00237301
HC2,G1,G,123,0.00228600,,,,,,,,0.48310279,0.00418214,0.00339037,0.00227644
HC2,G1,G,456,0.00228600,,,,,,,,0.51344624,0.05380567,0.00345974,0.00240900
HC2,G1,G,789,0.00228600,,,,,,,,0.41153385,0.04956032,0.00322677,0.00217271
HC2,G1,G,2026,0.00228600,,,,,,,,0.56605670,0.05297945,0.00358001,0.00240711
HC2,G2,G,42,0.02067000,,,,,,,,0.23712299,0.00607390,0.02557133,0.02079555
HC2,G2,G,123,0.02067000,,,,,,,,0.23778493,0.00285594,0.02558501,0.02072903
HC2,G2,G,456,0.02067000,,,,,,,,0.24070819,0.00783415,0.02564544,0.02083193
HC2,G2,G,789,0.02067000,,,,,,,,0.22787921,0.00479207,0.02538026,0.02057095
HC2,G2,G,2026,0.02067000,,,,,,,,0.24250337,0.00423433,0.02568254,0.02075752
HC2,G3,G,42,0.04847300,,,,,,,,0.18927622,0.00015836,0.05764779,0.04846532
HC2,G3,G,123,0.04847300,,,,,,,,0.18826108,0.00175655,0.05759858,0.04838785
HC2,G3,G,456,0.04847300,,,,,,,,0.19347165,0.00390883,0.05785115,0.04866247
HC2,G3,G,789,0.04847300,,,,,,,,0.18818958,0.00148414,0.05759511,0.04840106
HC2,G3,G,2026,0.04847300,,,,,,,,0.19478921,0.00184561,0.05791502,0.04856246
HC2,G4,G,42,0.06916200,,,,,,,,0.17196045,0.00135241,0.08105513,0.06925554
HC2,G4,G,123,0.06916200,,,,,,,,0.17062230,0.00117187,0.08096258,0.06908095
HC2,G4,G,456,0.06916200,,,,,,,,0.17327247,0.00179692,0.08114587,0.06928628
HC2,G4,G,789,0.06916200,,,,,,,,0.16759126,0.00365224,0.08075295,0.06890940
HC2,G4,G,2026,0.06916200,,,,,,,,0.17660882,0.00310053,0.08137662,0.06937644
HC2,G5,G,42,0.09021500,,,,,,,,0.15801812,0.00114741,0.10447060,0.09031851
HC2,G5,G,123,0.09021500,,,,,,,,0.15663338,0.00078142,0.10434568,0.09014450
HC2,G5,G,456,0.09021500,,,,,,,,0.15724653,0.00108346,0.10440100,0.09031274
HC2,G5,G,789,0.09021500,,,,,,,,0.15336523,0.00320696,0.10405084,0.08992568
HC2,G5,G,2026,0.09021500,,,,,,,,0.15874317,0.00092862,0.10453602,0.09029878
HC2,T2-a,T2,42,-0.06304834,,,,,,,,0.29971237,0.02349193,-0.08194470,-0.06452946
HC2,T2-a,T2,123,-0.06303204,,,,,,,,0.31626875,0.02442668,-0.08296711,-0.06457170
HC2,T2-a,T2,456,-0.06324334,,,,,,,,0.31520704,0.04026722,-0.08317809,-0.06578997
HC2,T2-a,T2,789,-0.06293785,,,,,,,,0.24417227,0.01899293,-0.07830553,-0.06174248
HC2,T2-a,T2,2026,-0.06292868,,,,,,,,0.26739572,0.03466783,-0.07975554,-0.06074708
HC2,T2-b,T2,42,-0.05878504,,,,,,,,0.20622770,0.01810488,-0.07090814,-0.05984933
HC2,T2-b,T2,123,-0.05858209,,,,,,,,0.22823226,0.02069768,-0.07195241,-0.05979460
HC2,T2-b,T2,456,-0.05881489,,,,,,,,0.27441451,0.07967589,-0.07495454,-0.06350102
HC2,T2-b,T2,789,-0.05854467,,,,,,,,0.18264528,0.02385481,-0.06923757,-0.05714810
HC2,T2-b,T2,2026,-0.05859847,,,,,,,,0.17966827,0.03692406,-0.06912676,-0.05643478
HC2,T2-c,T2,42,-0.01829378,,,,,,,,0.81558107,0.04901149,-0.03321383,-0.01739717
HC2,T2-c,T2,123,-0.01828435,,,,,,,,1.08716751,0.16014619,-0.03816249,-0.02121251
HC2,T2-c,T2,456,-0.01842385,,,,,,,,1.12189622,0.22998779,-0.03909349,-0.02266111
HC2,T2-c,T2,789,-0.01825693,,,,,,,,0.89250220,0.01107860,-0.03455128,-0.01845919
HC2,T2-c,T2,2026,-0.01823785,,,,,,,,0.93432086,0.06899417,-0.03527784,-0.01697954
HC2,T2-d,T2,42,-0.01538104,,,,,,,,1.06155102,0.02548780,-0.03170880,-0.01498901
HC2,T2-d,T2,123,-0.01527484,,,,,,,,1.37385035,0.19762449,-0.03626019,-0.01829353
HC2,T2-d,T2,456,-0.01541167,,,,,,,,1.43435674,0.36661713,-0.03751750,-0.02106185
HC2,T2-d,T2,789,-0.01525467,,,,,,,,1.20380676,0.05715535,-0.03361835,-0.01612656
HC2,T2-d,T2,2026,-0.01528878,,,,,,,,1.26992999,0.03455907,-0.03470445,-0.01476041
