cell,rho,alpha_b,seed,N,P_T_empirical,corr_TU,NIE_true,NDE_true,ATE_true,kappa_true,E_S_obs_T1,E_S_obs_T0,NIE_naive,naive_bias,naive_bias_pct,criterion_a_pass,IV_first_stage,IV_RF,ATE_IV,NIE_IV,kappa_IV,SE_kappa_IV,kappa_L,kappa_U,IV_coverage,IV_width,criterion_b_pass
T2-a,0.5,0.3,42,1000000,0.548175,0.23555704882550024,0.0022870488497791284,-0.06922375666227615,-0.06693670781249703,0.033038496609437376,54.18275711539331,46.761047677239226,0.011111130250481983,0.008824081400702854,385.82828703265517,True,0.337799850009627,-0.021197461692335454,-0.06275154264198562,0.006472214020290523,0.09349700640874913,0.012557083954232766,0.0688851218584529,0.11810889095904535,False,0.04922376910059245,False
T2-a,0.5,0.3,123,1000000,0.546813,0.23673664678740647,0.0022867075404419007,-0.06920489862036007,-0.06691819107991817,0.03304256759317254,54.203650692359126,46.75631512042119,0.01116007433525672,0.00887336679481482,388.0411743908477,True,0.3377263746292086,-0.021712188341867618,-0.06428928852745223,0.004915610092907835,0.07102979978156725,0.012536164331796454,0.0464589176912462,0.09560068187188829,False,0.04914176418064209,False
T2-a,0.5,0.3,456,1000000,0.547521,0.23497075103191947,0.0022868503079555053,-0.06922990206508019,-0.06694305175712469,0.03303269598454337,54.16930955003501,46.768546989817274,0.011045694588475746,0.00875884428052024,383.0090780340949,True,0.3390200496943358,-0.02131140481663201,-0.06286178305928103,0.006368119005799158,0.09198509337500942,0.012514858123619566,0.06745597145271506,0.11651421529730377,False,0.049058243844588706,False
T2-a,0.5,0.3,789,1000000,0.546579,0.23773238263083515,0.0022841282231745963,-0.06911332784187485,-0.06682919961870025,0.03304902678685186,54.19049885236744,46.72154013044312,0.011155719958832189,0.008871591735657592,388.4016512578881,True,0.33819508897011286,-0.021518776767978913,-0.06362829464351145,0.005485033198363395,0.07936288657540357,0.012561103761487238,0.05474312320288858,0.10398264994791856,False,0.04923952674502998,False
T2-a,0.5,0.3,2026,1000000,0.54696,0.23724294045961436,0.0022849394352404233,-0.06914454143868536,-0.06685960200344493,0.03304583973944809,54.20068466193352,46.72682887091007,0.011170771774943399,0.008885832339702976,388.88699641914144,True,0.3384317038106627,-0.021153120319148573,-0.06250336502452145,0.00664117641416391,0.09604773241649224,0.01252055635304055,0.07150744196453276,0.12058802286845172,False,0.04908058090391895,False
T2-b,1.0,0.3,42,1000000,0.541956,0.4126143402554977,0.0022870488497791284,-0.06922375666227615,-0.06693670781249703,0.033038496609437376,56.26076394456957,44.38275834670072,0.017494797031484547,0.015207748181705418,664.9507369802838,True,0.2989287751172435,-0.017475947140159674,-0.05846190997606503,0.010761846686211121,0.1554646440053122,0.013247583604526944,0.1294993801404394,0.181429907870185,False,0.0519305277297456,False
T2-b,1.0,0.3,123,1000000,0.541972,0.4126079077370475,0.0022867075404419007,-0.06920489862036007,-0.06691819107991817,0.03304256759317254,56.25219901412633,44.3951826579057,0.017468636343073256,0.015181928802631356,663.9208789986972,True,0.29833475614141874,-0.01798231959574919,-0.060275644139917386,0.008929254480442683,0.12902633568508254,0.01326185925140143,0.10303309155233574,0.15501957981782935,False,0.05198648826549361,False
T2-b,1.0,0.3,456,1000000,0.541347,0.4129509786799142,0.0022868503079555053,-0.06922990206508019,-0.06694305175712469,0.03303269598454337,56.255657075433604,44.385467263346094,0.01751381820514481,0.015226967897189306,665.8489121136465,True,0.3003192292630388,-0.017588870821815566,-0.058567248141177496,0.010662653923902692,0.15401804142203132,0.013197730832008467,0.12815048899129472,0.17988559385276792,False,0.0517351048614732,False
T2-b,1.0,0.3,789,1000000,0.540925,0.41341379000980166,0.0022841282231745963,-0.06911332784187485,-0.06682919961870025,0.03304902678685186,56.24913688919321,44.369374825305094,0.017510973347408542,0.015226845124233945,666.6370552118527,True,0.299415851486408,-0.01773174530599394,-0.0592211308050899,0.009892197036784948,0.1431300929310974,0.013249439967196866,0.11716119059539155,0.16909899526680328,False,0.05193780467141172,False
T2-b,1.0,0.3,2026,1000000,0.541219,0.41351360536922344,0.0022849394352404233,-0.06914454143868536,-0.06685960200344493,0.03304583973944809,56.25909173549243,44.37330265284913,0.017516935261124057,0.015231995825883634,666.6258015841418,True,0.29894238186370453,-0.017285731770792755,-0.05782295458752905,0.011321586851156307,0.1637379699913961,0.013246283530023172,0.13777525427255066,0.1897006857102415,False,0.05192543143769085,False
T2-c,0.5,3.972,42,1000000,0.548175,0.23555704882550024,0.048495257315582616,-0.06922375666227615,-0.020728499346693532,0.7005580114956454,72.54275711539326,46.761047677239226,0.06277910490519682,0.014283847589614207,29.45411238188128,True,0.337799850009627,-0.006072128075709046,-0.017975520342995998,0.05124823631928015,0.7403272921073373,0.013697081892650856,0.7134810115977416,0.767173572616933,False,0.0536925610191914,False
T2-c,0.5,3.972,123,1000000,0.546813,0.23673664678740647,0.048490154919000196,-0.06920489862036007,-0.020714743701359874,0.7006751817527321,72.56365069235915,46.75631512042119,0.06286588294533299,0.014375728026332794,29.64669436578736,True,0.3377263746292086,-0.006665150646793863,-0.019735357222578673,0.0494695413977814,0.7148271637410862,0.013680400960458453,0.6880135778585876,0.7416407496235848,True,0.053627171764997206,True
T2-c,0.5,3.972,456,1000000,0.547521,0.23497075103191947,0.04848955110065326,-0.06922990206508019,-0.020740350964426925,0.7004134001962076,72.52930955003497,46.768546989817274,0.06268316850306858,0.014193617402415322,29.27149680753407,True,0.3390200496943358,-0.0061514179109804085,-0.01814470240484772,0.051085199660232464,0.7379065712415621,0.013653465493855117,0.7111457788736061,0.7646673636095181,False,0.053521584735912064,False
T2-c,0.5,3.972,789,1000000,0.546579,0.23773238263083515,0.048442059179294825,-0.06911332784187485,-0.020671268662580025,0.7009076352122119,72.55049885236741,46.72154013044312,0.06282552351369329,0.014383464334398466,29.69209934111609,True,0.33819508897011286,-0.006420722089141462,-0.018985261165956425,0.050128066675918424,0.7253024596154157,0.013698484675520504,0.6984534296513956,0.7521514895794359,True,0.05369805992804033,True
T2-c,0.5,3.972,2026,1000000,0.54696,0.23724294045961436,0.04845753918084384,-0.06914454143868536,-0.020687002257841515,0.7008151066243468,72.56068466193354,46.72682887091007,0.06285778950200788,0.014400250321164036,29.717254661699204,True,0.3384317038106627,-0.005954036380939998,-0.01759302191224677,0.051551519526438584,0.7455616662401678,0.013668450399774941,0.718771503456609,0.7723518290237267,False,0.05358032556711767,False
T2-d,1.0,3.972,42,1000000,0.541956,0.4126143402554977,0.048495257315582616,-0.06922375666227615,-0.020728499346693532,0.7005580114956454,74.62076394456956,44.38275834670072,0.0733321453129146,0.024836887997331983,51.21508653043343,True,0.2989287751172435,-0.004483041002723939,-0.014997020614578294,0.05422673604769786,0.7833544242947595,0.015060953589134249,0.7538349552600564,0.8128738933294627,False,0.0590389380694063,False
T2-d,1.0,3.972,123,1000000,0.541972,0.4126079077370475,0.048490154919000196,-0.06920489862036007,-0.020714743701359874,0.7006751817527321,74.61219901412632,44.3951826579057,0.07328355202273881,0.024793397103738617,51.130785507191,True,0.29833475614141874,-0.005085720394832821,-0.017047026168221756,0.052157872452138314,0.7536731285203194,0.015077404394198619,0.7241214159076901,0.7832248411329488,False,0.05910342522525869,False
T2-d,1.0,3.972,456,1000000,0.541347,0.4129509786799142,0.04848955110065326,-0.06922990206508019,-0.020740350964426925,0.7004134001962076,74.61565707543362,44.385467263346094,0.07336297300917895,0.024873421908525685,51.29645736850426,True,0.3003192292630388,-0.004572741050710108,-0.015226267934728246,0.05400363413035194,0.7800622638406355,0.015003028202113165,0.7506563285644937,0.8094681991167773,False,0.05881187055228354,False
T2-d,1.0,3.972,789,1000000,0.540925,0.41341379000980166,0.048442059179294825,-0.06911332784187485,-0.020671268662580025,0.7009076352122119,74.60913688919321,44.369374825305094,0.07332622523443869,0.02488416605514386,51.36892707851669,True,0.299415851486408,-0.004811694970702454,-0.016070274659192123,0.05304305318268272,0.7674793681479282,0.015057460311119802,0.7379667459381334,0.796991990357723,False,0.05902524441958956,False
T2-d,1.0,3.972,2026,1000000,0.541219,0.41351360536922344,0.04845753918084384,-0.06914454143868536,-0.020687002257841515,0.7008151066243468,74.6190917354924,44.37330265284913,0.0733466821755269,0.024889142994683054,51.36278774247411,True,0.29894238186370453,-0.0043073891414913,-0.014408760359229186,0.05473578107945617,0.7916139139919482,0.015068873628551872,0.7620789216799866,0.8211489063039099,False,0.05906998462392332,False
