cell,rho,alpha_b,delta_ZY,tau_LATE_ref,M_reps,N_rep,reject_rate,SE_reject,cover_rate,SE_cover,wrong_dir_rate
T2-a,0.5,0.3,0.0,-0.06307757310622149,2000,10000,0.56,0.011099549540409285,0.9595,0.004407933189148855,0.016
T2-a,0.5,0.3,0.005,-0.06307757310622149,2000,10000,0.328,0.01049799980948752,0.9075,0.006478570444164362,0.0545
T2-a,0.5,0.3,0.01,-0.06307757310622149,2000,10000,0.207,0.00905955296910394,0.8325,0.008349962574766428,0.117
T2-a,0.5,0.3,0.02,-0.06307757310622149,2000,10000,0.047,0.00473238840333293,0.469,0.011158830583891844,0.452
T2-a,0.5,0.3,0.05,-0.06307757310622149,2000,10000,0.8,0.008944271909999158,0.001,0.0007067531393633848,0.998
T2-a,0.5,0.3,0.1,-0.06307757310622149,2000,10000,1.0,0.0,0.0,0.0,1.0
T2-b,1.0,0.3,0.0,-0.05874661957107896,2000,10000,0.4535,0.011131885509651992,0.9445,0.005119558086397692,0.0325
T2-b,1.0,0.3,0.005,-0.05874661957107896,2000,10000,0.2285,0.00938849695105665,0.8925,0.006926173185822025,0.1025
T2-b,1.0,0.3,0.01,-0.05874661957107896,2000,10000,0.1215,0.0073054003997043175,0.805,0.00885931712944062,0.2075
T2-b,1.0,0.3,0.02,-0.05874661957107896,2000,10000,0.052,0.004964675215963275,0.437,0.01109123527836282,0.6015
T2-b,1.0,0.3,0.05,-0.05874661957107896,2000,10000,0.914,0.006269130721240385,0.0005,0.0004998749843710925,1.0
T2-b,1.0,0.3,0.1,-0.05874661957107896,2000,10000,1.0,0.0,0.0,0.0,1.0
T2-c,0.5,3.972,0.0,-0.018315245345368776,2000,10000,0.104,0.0068258332824644935,0.9525,0.00475624589355933,0.2585
T2-c,0.5,3.972,0.005,-0.018315245345368776,2000,10000,0.0545,0.005075911248239078,0.9055,0.006541014829519959,0.4725
T2-c,0.5,3.972,0.01,-0.018315245345368776,2000,10000,0.0585,0.0052477495176503994,0.8115,0.008745505988792188,0.6575
T2-c,0.5,3.972,0.02,-0.018315245345368776,2000,10000,0.2995,0.01024206400097168,0.443,0.011107452453195556,0.929
T2-c,0.5,3.972,0.05,-0.018315245345368776,2000,10000,0.9965,0.0013205585939290896,0.0,0.0,1.0
T2-c,0.5,3.972,0.1,-0.018315245345368776,2000,10000,1.0,0.0,0.0,0.0,1.0
T2-d,1.0,3.972,0.0,-0.015366221358802262,2000,10000,0.0705,0.0057240610583745525,0.951,0.004826955562256609,0.311
T2-d,1.0,3.972,0.005,-0.015366221358802262,2000,10000,0.051,0.004919298730510275,0.91,0.0063992187023104614,0.5335
T2-d,1.0,3.972,0.01,-0.015366221358802262,2000,10000,0.0765,0.005943389184631947,0.8185,0.008618519304381698,0.7205
T2-d,1.0,3.972,0.02,-0.015366221358802262,2000,10000,0.3605,0.010736380907922371,0.444,0.011109995499549044,0.9495
T2-d,1.0,3.972,0.05,-0.015366221358802262,2000,10000,0.999,0.0007067531393633852,0.0,0.0,1.0
T2-d,1.0,3.972,0.1,-0.015366221358802262,2000,10000,1.0,0.0,0.0,0.0,1.0
T2-null,0.5,4.99720863,0.0,0.0018419389156690343,2000,10000,0.0485,0.004803527349771208,0.954,0.0046842288586276416,0.486
T2-null,0.5,4.99720863,0.005,0.0018419389156690343,2000,10000,0.099,0.006678285708173917,0.9105,0.006383171233799076,0.259
T2-null,0.5,4.99720863,0.01,0.0018419389156690343,2000,10000,0.196,0.00887648579112252,0.8225,0.008543820866567839,0.141
T2-null,0.5,4.99720863,0.02,0.0018419389156690343,2000,10000,0.571,0.011067045676240792,0.459,0.01114268818553225,0.016
T2-null,0.5,4.99720863,0.05,0.0018419389156690343,2000,10000,1.0,0.0,0.0,0.0,0.0
T2-null,0.5,4.99720863,0.1,0.0018419389156690343,2000,10000,1.0,0.0,0.0,0.0,0.0
